日期,Open,Close,High,Low,Volume,成交额,振幅,涨跌幅,涨跌额,换手率
2023-12-11,0.487,0.496,0.498,0.482,1352174,66143181.587,3.27,1.43,0.007,1.05
2023-12-12,0.494,0.493,0.496,0.492,765654,37808522.556,0.81,-0.6,-0.003,0.59
2023-12-13,0.493,0.486,0.494,0.486,863419,42253711.327,1.62,-1.42,-0.007,0.67
2023-12-14,0.489,0.485,0.492,0.483,942680,45954413.929,1.85,-0.21,-0.001,0.73
2023-12-15,0.486,0.48,0.488,0.478,1408047,67855544.614,2.06,-1.03,-0.005,1.09
2023-12-18,0.479,0.474,0.479,0.472,1076358,51174785.883,1.46,-1.25,-0.006,0.84
2023-12-19,0.474,0.477,0.479,0.472,1034091,49084264.381,1.48,0.63,0.003,0.8
2023-12-20,0.477,0.471,0.478,0.471,932353,44260359.442,1.47,-1.26,-0.006,0.72
2023-12-21,0.47,0.48,0.482,0.47,1452822,69183406.856,2.55,1.91,0.009,1.13
2023-12-22,0.478,0.479,0.483,0.475,1167484,55881409.775,1.67,-0.21,-0.001,0.91
2023-12-25,0.477,0.478,0.48,0.475,713933,34052421.663,1.04,-0.21,-0.001,0.55
2023-12-26,0.478,0.472,0.478,0.469,1392267,65683128.94,1.88,-1.26,-0.006,1.08
2023-12-27,0.471,0.473,0.475,0.47,903483,42694123.696,1.06,0.21,0.001,0.7
2023-12-28,0.472,0.489,0.49,0.472,1987903,96110421.414,3.81,3.38,0.016,1.54
2023-12-29,0.489,0.491,0.492,0.488,1122393,55049736.099,0.82,0.41,0.002,0.87
2024-01-02,0.491,0.483,0.492,0.482,1008684,48928371.151,2.04,-1.63,-0.008,0.78
2024-01-03,0.482,0.476,0.483,0.474,1379044,65853142.456,1.86,-1.45,-0.007,1.07
2024-01-04,0.476,0.469,0.477,0.466,1958459,91873391.69,2.31,-1.47,-0.007,1.52
2024-01-05,0.468,0.462,0.472,0.459,1689217,78590047.44,2.77,-1.49,-0.007,1.31
2024-01-08,0.462,0.452,0.462,0.451,1496971,68183436.808,2.38,-2.16,-0.01,1.16
2024-01-09,0.454,0.454,0.46,0.451,1227425,55793857.053,1.99,0.44,0.002,0.95
2024-01-10,0.452,0.45,0.458,0.448,1354571,61215168.584,2.2,-0.88,-0.004,1.05
2024-01-11,0.45,0.457,0.46,0.449,1341074,60979171.647,2.44,1.56,0.007,1.04
2024-01-12,0.456,0.452,0.458,0.451,1405863,63835197.0,1.53,-1.09,-0.005,1.09
2024-01-15,0.451,0.448,0.454,0.446,1153437,51847296.048,1.77,-0.88,-0.004,0.9
2024-01-16,0.448,0.451,0.451,0.444,1179713,52769457.912,1.56,0.67,0.003,0.92
2024-01-17,0.45,0.438,0.451,0.438,1354827,60176392.021,2.88,-2.88,-0.013,1.05
2024-01-18,0.436,0.448,0.449,0.433,1945132,85306679.003,3.65,2.28,0.01,1.51
2024-01-19,0.447,0.447,0.452,0.445,1219684,54723035.036,1.56,-0.22,-0.001,0.95
2024-01-22,0.446,0.438,0.448,0.434,1571700,69666731.994,3.13,-2.01,-0.009,1.22
2024-01-23,0.437,0.442,0.446,0.434,1441363,63639261.653,2.74,0.91,0.004,1.12
2024-01-24,0.445,0.444,0.445,0.43,1934858,84651170.993,3.39,0.45,0.002,1.5
2024-01-25,0.441,0.449,0.45,0.437,2199522,97773840.226,2.93,1.13,0.005,1.71
2024-01-26,0.446,0.439,0.447,0.437,1829075,81009897.397,2.23,-2.23,-0.01,1.42
2024-01-29,0.439,0.423,0.441,0.423,2575366,110707861.862,4.1,-3.64,-0.016,2.0
2024-01-30,0.42,0.41,0.424,0.41,2023599,84305538.394,3.31,-3.07,-0.013,1.57
2024-01-31,0.41,0.408,0.415,0.406,1870784,76856810.624,2.2,-0.49,-0.002,1.45
2024-02-01,0.406,0.413,0.421,0.406,2271968,94123078.262,3.68,1.23,0.005,1.76
2024-02-02,0.415,0.405,0.416,0.394,3060856,123718200.035,5.33,-1.94,-0.008,2.38
